"No.","Pos. [°2θ]","Iobs [cps]"
"1","5.0197","178.7530"
"2","5.0587","175.3634"
"3","5.0977","178.5834"
"4","5.1367","170.2746"
"5","5.1757","168.6228"
"6","5.2147","169.2554"
"7","5.2537","168.6865"
"8","5.2927","166.1382"
"9","5.3317","165.2441"
"10","5.3707","161.3850"
"11","5.4097","163.2180"
"12","5.4487","161.5386"
"13","5.4877","159.4935"
"14","5.5267","157.3693"
"15","5.5657","155.3400"
"16","5.6047","153.8390"
"17","5.6437","152.2469"
"18","5.6827","150.7275"
"19","5.7217","150.0971"
"20","5.7607","151.4972"
"21","5.7997","150.0785"
"22","5.8387","149.1493"
"23","5.8777","149.6522"
"24","5.9167","147.9392"
"25","5.9557","146.1158"
"26","5.9947","145.2993"
"27","6.0337","145.6838"
"28","6.0727","144.1189"
"29","6.1117","144.9631"
"30","6.1507","144.0559"
"31","6.1897","142.1619"
"32","6.2287","142.2587"
"33","6.2677","142.2202"
"34","6.3067","142.3199"
"35","6.3457","141.1222"
"36","6.3847","140.2606"
"37","6.4237","137.9191"
"38","6.4627","140.7316"
"39","6.5017","141.6119"
"40","6.5407","137.9216"
"41","6.5797","138.5704"
"42","6.6187","139.1997"
"43","6.6577","137.5732"
"44","6.6967","136.2985"
"45","6.7357","135.8530"
"46","6.7747","135.0745"
"47","6.8137","136.6982"
"48","6.8527","137.1323"
"49","6.8917","134.6259"
"50","6.9307","134.9172"
"51","6.9697","136.5621"
"52","7.0087","135.4360"
"53","7.0477","133.9866"
"54","7.0867","136.3583"
"55","7.1257","137.9272"
"56","7.1647","134.3590"
"57","7.2037","132.7083"
"58","7.2427","134.8240"
"59","7.2817","135.8862"
"60","7.3207","135.2591"
"61","7.3597","135.4212"
"62","7.3987","136.2808"
"63","7.4377","134.3661"
"64","7.4767","135.2732"
"65","7.5157","137.1026"
"66","7.5547","137.7747"
"67","7.5937","137.2573"
"68","7.6327","139.1995"
"69","7.6717","141.8247"
"70","7.7107","140.8485"
"71","7.7497","142.2902"
"72","7.7887","147.4741"
"73","7.8277","145.7619"
"74","7.8667","146.8715"
"75","7.9057","149.7753"
"76","7.9447","155.9185"
"77","7.9837","160.4976"
"78","8.0227","168.2139"
"79","8.0617","175.4122"
"80","8.1007","183.3069"
"81","8.1397","195.1788"
"82","8.1787","211.8662"
"83","8.2177","231.1659"
