"No.","Pos. [°2θ]","Iobs [cps]"
"1","5.0197","167.1128"
"2","5.0587","164.7298"
"3","5.0977","162.8552"
"4","5.1367","160.3818"
"5","5.1757","159.0916"
"6","5.2147","159.2189"
"7","5.2537","159.9892"
"8","5.2927","155.5772"
"9","5.3317","153.8499"
"10","5.3707","154.1454"
"11","5.4097","154.6347"
"12","5.4487","149.2682"
"13","5.4877","149.7013"
"14","5.5267","148.3315"
"15","5.5657","150.0720"
"16","5.6047","147.6516"
"17","5.6437","146.9809"
"18","5.6827","143.4776"
"19","5.7217","144.4955"
"20","5.7607","142.8156"
"21","5.7997","142.6877"
"22","5.8387","141.4437"
"23","5.8777","140.9962"
"24","5.9167","140.4245"
"25","5.9557","139.3308"
"26","5.9947","141.0520"
"27","6.0337","138.2518"
"28","6.0727","139.1285"
"29","6.1117","137.4775"
"30","6.1507","137.2292"
"31","6.1897","137.3290"
"32","6.2287","135.4159"
"33","6.2677","134.5849"
"34","6.3067","130.5313"
"35","6.3457","132.8371"
"36","6.3847","135.6235"
"37","6.4237","134.6006"
"38","6.4627","134.2854"
"39","6.5017","133.2442"
"40","6.5407","133.6194"
"41","6.5797","134.9507"
"42","6.6187","135.8875"
"43","6.6577","135.1213"
"44","6.6967","133.6780"
"45","6.7357","132.5191"
"46","6.7747","133.1905"
"47","6.8137","134.0167"
"48","6.8527","132.7420"
"49","6.8917","130.8989"
"50","6.9307","133.0698"
"51","6.9697","136.2726"
"52","7.0087","134.0299"
"53","7.0477","132.1034"
"54","7.0867","132.0941"
"55","7.1257","131.1532"
"56","7.1647","133.0040"
"57","7.2037","134.1681"
"58","7.2427","132.5253"
"59","7.2817","131.2837"
"60","7.3207","131.5543"
"61","7.3597","132.5219"
"62","7.3987","131.5931"
"63","7.4377","132.4013"
"64","7.4767","131.8370"
"65","7.5157","130.9642"
"66","7.5547","132.3758"
"67","7.5937","133.7566"
"68","7.6327","134.8911"
"69","7.6717","136.3951"
"70","7.7107","137.4166"
"71","7.7497","136.1486"
"72","7.7887","137.1633"
"73","7.8277","136.5581"
"74","7.8667","138.6748"
"75","7.9057","141.5734"
"76","7.9447","146.3710"
"77","7.9837","148.8945"
"78","8.0227","154.6586"
"79","8.0617","158.9608"
"80","8.1007","165.3795"
"81","8.1397","171.7016"
"82","8.1787","180.2124"
"83","8.2177","191.9836"
"84","8.2567","205.6117"
"85","8.2957","223.0900"
"86","8.3347","250.5785"
"87","8.3737","283.5648"
"88","8.4127","319.7836"
"89","8.4517","368.4913"
"90","8.4907","422.0232"
"91","8.5297","459.7985"
"92","8.5687","461.0496"
"93","8.6077","409.5050"
"94","8.6467","332.3036"
"95","8.6857","261.2223"
"96","8.7247","222.0022"
"97","8.7637","202.3125"
"98","8.8027","187.2100"
"99","8.8417","179.4480"
"100","8.8807","176.0184"
"101","8.9197","168.2262"
"102","8.9587","172.6225"
"103","8.9977","165.4575"
"104","9.0367","158.2065"
"105","9.0757","158.2262"
"106","9.1147","161.7312"
"107","9.1537","161.9627"
"108","9.1927","158.9882"
"109","9.2317","156.5001"
"110","9.2707","156.7997"
"111","9.3097","156.1822"
"112","9.3487","158.5957"
"113","9.3877","156.7548"
"114","9.4267","157.6927"
"115","9.4657","160.0942"
"116","9.5047","165.1723"
