"No.","Pos. [°2θ]","Iobs [cps]"
"1","5.0197","169.4367"
"2","5.0587","169.1080"
"3","5.0977","165.0576"
"4","5.1367","163.6872"
"5","5.1757","163.2292"
"6","5.2147","158.3018"
"7","5.2537","158.4357"
"8","5.2927","157.3406"
"9","5.3317","156.3019"
"10","5.3707","156.6541"
"11","5.4097","154.1549"
"12","5.4487","149.3462"
"13","5.4877","152.3374"
"14","5.5267","146.2744"
"15","5.5657","146.7170"
"16","5.6047","146.0087"
"17","5.6437","145.4959"
"18","5.6827","143.2394"
"19","5.7217","143.1017"
"20","5.7607","140.9627"
"21","5.7997","141.4481"
"22","5.8387","140.6604"
"23","5.8777","141.4261"
"24","5.9167","139.1697"
"25","5.9557","136.4409"
"26","5.9947","134.9495"
"27","6.0337","135.0924"
"28","6.0727","136.7309"
"29","6.1117","135.1778"
"30","6.1507","137.4152"
"31","6.1897","137.7562"
"32","6.2287","135.8996"
"33","6.2677","131.3621"
"34","6.3067","132.6969"
"35","6.3457","134.8305"
"36","6.3847","134.2040"
"37","6.4237","133.7735"
"38","6.4627","131.8014"
"39","6.5017","132.1224"
"40","6.5407","131.6865"
"41","6.5797","128.9664"
"42","6.6187","131.2758"
"43","6.6577","133.5374"
"44","6.6967","133.9755"
"45","6.7357","133.2809"
"46","6.7747","131.0193"
"47","6.8137","130.4980"
"48","6.8527","131.3748"
"49","6.8917","131.8789"
"50","6.9307","132.1215"
"51","6.9697","131.5230"
"52","7.0087","130.2800"
"53","7.0477","129.8221"
"54","7.0867","130.5327"
"55","7.1257","129.0646"
"56","7.1647","127.3119"
"57","7.2037","127.6528"
"58","7.2427","126.1865"
"59","7.2817","126.6513"
"60","7.3207","127.4873"
"61","7.3597","124.5913"
"62","7.3987","123.5436"
"63","7.4377","125.5277"
"64","7.4767","128.0630"
"65","7.5157","127.2535"
"66","7.5547","124.5815"
"67","7.5937","123.7785"
"68","7.6327","125.3901"
"69","7.6717","127.0171"
"70","7.7107","128.3265"
"71","7.7497","129.7016"
"72","7.7887","130.8946"
"73","7.8277","133.7955"
"74","7.8667","135.3301"
"75","7.9057","137.1818"
"76","7.9447","140.2944"
"77","7.9837","141.8554"
"78","8.0227","149.3666"
"79","8.0617","159.3007"
"80","8.1007","166.5209"
"81","8.1397","176.9081"
"82","8.1787","187.1553"
"83","8.2177","204.7590"
"84","8.2567","230.3517"
"85","8.2957","258.4796"
"86","8.3347","295.8110"
"87","8.3737","341.0037"
"88","8.4127","397.2806"
"89","8.4517","482.2466"
"90","8.4907","577.0336"
"91","8.5297","666.0490"
"92","8.5687","701.7791"
"93","8.6077","619.7568"
"94","8.6467","455.7310"
"95","8.6857","307.2006"
"96","8.7247","222.3767"
"97","8.7637","185.8511"
"98","8.8027","167.5667"
"99","8.8417","156.6421"
"100","8.8807","148.7980"
"101","8.9197","144.5176"
"102","8.9587","139.2996"
"103","8.9977","140.7847"
"104","9.0367","136.6227"
"105","9.0757","136.3881"
"106","9.1147","133.8586"
"107","9.1537","132.6859"
"108","9.1927","136.8916"
"109","9.2317","132.6258"
"110","9.2707","132.6563"
"111","9.3097","134.6507"
"112","9.3487","134.8294"
"113","9.3877","138.9947"
"114","9.4267","141.2852"
"115","9.4657","141.4391"
"116","9.5047","147.5563"
"117","9.5437","153.8304"
"118","9.5827","164.1513"
"119","9.6217","175.9467"
"120","9.6607","188.2222"
"121","9.6997","208.6796"
"122","9.7387","234.6804"
"123","9.7777","271.9242"
"124","9.8167","315.4864"
"125","9.8557","353.3215"
"126","9.8947","369.3218"
"127","9.9337","334.1684"
"128","9.9727","265.1215"
"129","10.0117","201.3158"
"130","10.0507","166.3560"
"131","10.0897","146.1759"
"132","10.1287","135.3134"
"133","10.1677","131.9015"
"134","10.2067","130.4570"
"135","10.2457","126.2786"
"136","10.2847","127.3581"
"137","10.3237","126.1518"
"138","10.3627","124.9543"
"139","10.4017","126.0775"
"140","10.4407","124.5912"
"141","10.4797","122.4324"
"142","10.5187","121.9464"
"143","10.5577","120.8025"
"144","10.5967","120.9717"
"145","10.6357","119.7020"
"146","10.6747","119.9076"
"147","10.7137","119.7266"
"148","10.7527","118.3967"
"149","10.7917","118.4654"
"150","10.8307","118.3742"
"151","10.8697","118.8877"
"152","10.9087","119.3165"
"153","10.9477","118.9866"
"154","10.9867","119.0527"
"155","11.0257","118.5569"
"156","11.0647","116.7792"
"157","11.1037","116.8742"
"158","11.1427","117.5228"
"159","11.1817","117.7453"
"160","11.2207","118.8996"
"161","11.2597","117.7029"
"162","11.2987","116.7132"
"163","11.3377","115.5337"
"164","11.3767","115.4563"
"165","11.4157","115.5603"
"166","11.4547","115.5997"
"167","11.4937","115.0743"
"168","11.5327","113.9167"
"169","11.5717","115.3856"
"170","11.6107","114.9411"
"171","11.6497","115.6643"
"172","11.6887","116.9724"
"173","11.7277","116.3644"
"174","11.7667","114.1861"
"175","11.8057","112.5427"
"176","11.8447","114.5835"
"177","11.8837","115.1948"
"178","11.9227","112.8918"
"179","11.9617","112.7253"
"180","12.0007","116.5055"
"181","12.0397","115.0819"
"182","12.0787","113.5985"
"183","12.1177","111.1870"
"184","12.1567","113.0773"
"185","12.1957","111.7266"
"186","12.2347","110.4713"
"187","12.2737","111.5460"
"188","12.3127","110.5466"
"189","12.3517","111.3110"
"190","12.3907","110.7742"
"191","12.4297","110.0138"
"192","12.4687","109.2402"
"193","12.5077","111.8794"
"194","12.5467","110.1573"
"195","12.5857","108.6020"
"196","12.6247","108.6888"
"197","12.6637","109.6289"
"198","12.7027","109.1060"
"199","12.7417","108.8500"
"200","12.7807","109.4458"
"201","12.8197","109.9989"
"202","12.8587","107.8900"
"203","12.8977","107.0066"
"204","12.9367","109.2118"
"205","12.9757","109.4867"
"206","13.0147","109.4125"
"207","13.0537","109.3303"
"208","13.0927","107.6385"
"209","13.1317","108.0279"
"210","13.1707","109.4255"
"211","13.2097","107.5759"
"212","13.2487","108.9768"
"213","13.2877","105.8290"
"214","13.3267","108.1139"
"215","13.3657","108.2006"
"216","13.4047","105.9708"
"217","13.4437","106.7889"
"218","13.4827","106.9469"
"219","13.5217","106.3328"
"220","13.5607","107.7931"
"221","13.5997","107.3603"
"222","13.6387","105.2133"
"223","13.6777","105.5848"
"224","13.7167","107.6944"
"225","13.7557","106.7706"
"226","13.7947","108.0794"
"227","13.8337","110.5339"
"228","13.8727","112.2851"
"229","13.9117","114.7031"
"230","13.9507","118.4320"
"231","13.9897","120.0922"
"232","14.0287","119.8916"
"233","14.0677","117.8826"
"234","14.1067","112.1182"
"235","14.1457","109.7536"
"236","14.1847","107.0657"
"237","14.2237","104.8426"
"238","14.2627","105.2422"
"239","14.3017","104.3120"
"240","14.3407","102.6431"
"241","14.3797","102.8456"
"242","14.4187","103.2508"
"243","14.4577","103.9098"
"244","14.4967","104.5510"
"245","14.5357","104.0662"
"246","14.5747","103.6443"
"247","14.6137","104.0450"
"248","14.6527","103.0365"
"249","14.6917","104.3665"
"250","14.7307","104.4118"
"251","14.7697","103.1636"
"252","14.8087","102.1927"
"253","14.8477","101.5452"
"254","14.8867","100.6473"
"255","14.9257","98.0148"
"256","14.9647","100.2992"
"257","15.0037","101.3111"
"258","15.0427","98.4552"
"259","15.0817","98.0922"
"260","15.1207","99.1995"
"261","15.1597","100.8598"
"262","15.1987","100.2871"
"263","15.2377","101.1513"
"264","15.2767","99.5629"
"265","15.3157","98.0763"
"266","15.3547","99.7136"
"267","15.3937","100.0195"
"268","15.4327","98.2709"
"269","15.4717","99.1536"
"270","15.5107","98.3936"
"271","15.5497","98.1220"
"272","15.5887","98.2841"
"273","15.6277","98.1694"
"274","15.6667","98.5415"
"275","15.7057","97.0718"
"276","15.7447","97.5506"
"277","15.7837","98.5085"
"278","15.8227","96.2240"
"279","15.8617","98.4795"
"280","15.9007","97.5205"
"281","15.9397","98.3859"
"282","15.9787","97.4380"
"283","16.0177","99.0416"
"284","16.0567","95.9788"
"285","16.0957","94.1957"
"286","16.1347","96.6610"
"287","16.1737","97.4571"
"288","16.2127","97.8648"
"289","16.2517","98.8607"
"290","16.2907","97.9481"
"291","16.3297","96.4204"
"292","16.3687","96.8277"
"293","16.4077","98.9496"
"294","16.4467","99.3708"
"295","16.4857","98.3971"
"296","16.5247","98.3014"
"297","16.5637","96.2618"
"298","16.6027","94.6887"
"299","16.6417","92.3356"
"300","16.6807","93.3353"
"301","16.7197","94.1738"
"302","16.7587","96.4689"
"303","16.7977","92.3870"
"304","16.8367","95.8793"
"305","16.8757","96.4327"
"306","16.9147","95.5526"
"307","16.9537","100.0680"
"308","16.9927","97.4084"
"309","17.0317","94.7058"
"310","17.0707","96.3363"
"311","17.1097","93.3944"
"312","17.1487","96.8602"
"313","17.1877","97.7721"
"314","17.2267","95.0483"
"315","17.2657","94.9396"
"316","17.3047","93.9704"
"317","17.3437","97.6302"
"318","17.3827","97.4634"
"319","17.4217","95.0903"
"320","17.4607","95.5093"
"321","17.4997","93.4831"
"322","17.5387","94.3031"
"323","17.5777","94.7953"
"324","17.6167","94.8604"
"325","17.6557","93.1703"
"326","17.6947","94.7175"
"327","17.7337","91.9179"
"328","17.7727","91.7899"
"329","17.8117","94.3426"
"330","17.8507","94.5794"
"331","17.8897","95.0499"
"332","17.9287","93.4292"
"333","17.9677","95.4245"
"334","18.0067","94.4002"
"335","18.0457","93.0979"
"336","18.0847","93.9309"
"337","18.1237","93.3577"
"338","18.1627","92.7359"
"339","18.2017","94.3219"
"340","18.2407","94.4779"
"341","18.2797","92.2877"
"342","18.3187","94.8153"
"343","18.3577","95.4071"
"344","18.3967","92.9593"
"345","18.4357","93.5316"
"346","18.4747","94.4153"
"347","18.5137","93.5661"
"348","18.5527","93.3762"
"349","18.5917","92.3558"
"350","18.6307","91.4088"
"351","18.6697","91.8741"
"352","18.7087","91.8875"
"353","18.7477","91.3123"
"354","18.7867","91.8105"
