"No.","Pos. [°2θ]","Iobs [cps]"
"1","5.0197","175.1426"
"2","5.0587","173.1500"
"3","5.0977","174.1062"
"4","5.1367","175.5150"
"5","5.1757","168.5837"
"6","5.2147","167.9602"
"7","5.2537","169.5038"
"8","5.2927","162.0726"
"9","5.3317","160.2498"
"10","5.3707","158.7050"
"11","5.4097","156.2279"
"12","5.4487","158.7617"
"13","5.4877","157.6048"
"14","5.5267","156.9323"
"15","5.5657","153.2358"
"16","5.6047","150.4078"
"17","5.6437","150.0679"
"18","5.6827","150.0088"
"19","5.7217","148.7507"
"20","5.7607","147.0153"
"21","5.7997","147.3569"
"22","5.8387","146.0802"
"23","5.8777","144.5319"
"24","5.9167","142.2201"
"25","5.9557","143.8303"
"26","5.9947","143.1909"
"27","6.0337","142.6918"
"28","6.0727","143.0502"
"29","6.1117","138.5589"
"30","6.1507","138.9797"
"31","6.1897","138.2080"
"32","6.2287","137.7194"
"33","6.2677","136.4557"
"34","6.3067","137.5257"
"35","6.3457","137.8459"
"36","6.3847","136.8826"
"37","6.4237","137.2282"
"38","6.4627","139.2698"
"39","6.5017","138.8260"
"40","6.5407","136.6201"
"41","6.5797","135.8486"
"42","6.6187","135.5985"
"43","6.6577","136.3678"
"44","6.6967","134.8911"
"45","6.7357","135.4806"
"46","6.7747","137.4338"
"47","6.8137","137.7186"
"48","6.8527","135.8013"
"49","6.8917","135.2440"
"50","6.9307","135.8948"
"51","6.9697","136.8504"
"52","7.0087","136.0773"
"53","7.0477","133.0405"
"54","7.0867","132.2272"
"55","7.1257","132.5026"
"56","7.1647","133.5648"
"57","7.2037","132.6767"
"58","7.2427","130.1579"
"59","7.2817","130.4281"
"60","7.3207","130.1401"
"61","7.3597","128.9163"
"62","7.3987","128.8210"
"63","7.4377","128.8850"
"64","7.4767","126.8161"
"65","7.5157","126.3527"
"66","7.5547","130.0062"
"67","7.5937","127.9670"
"68","7.6327","128.0238"
"69","7.6717","129.2555"
"70","7.7107","130.3692"
"71","7.7497","132.2008"
"72","7.7887","134.5092"
"73","7.8277","132.3522"
"74","7.8667","135.2897"
"75","7.9057","143.2980"
"76","7.9447","145.9503"
"77","7.9837","151.8994"
