"No.","Pos. [°2θ]","Iobs [cps]"
"1","5.0197","149.8703"
"2","5.0587","152.9312"
"3","5.0977","147.7963"
"4","5.1367","148.7385"
"5","5.1757","149.0894"
"6","5.2147","146.9729"
"7","5.2537","141.5540"
"8","5.2927","139.1520"
"9","5.3317","141.1181"
"10","5.3707","137.8997"
"11","5.4097","135.7532"
"12","5.4487","135.4795"
"13","5.4877","136.2016"
"14","5.5267","133.8787"
"15","5.5657","136.8790"
"16","5.6047","132.4229"
"17","5.6437","133.4515"
"18","5.6827","130.8265"
"19","5.7217","131.9423"
"20","5.7607","130.3972"
"21","5.7997","128.8203"
"22","5.8387","132.0718"
"23","5.8777","129.2059"
"24","5.9167","126.2564"
"25","5.9557","126.1877"
"26","5.9947","125.7636"
"27","6.0337","125.0959"
"28","6.0727","127.3149"
"29","6.1117","127.5882"
"30","6.1507","125.7024"
"31","6.1897","125.0191"
"32","6.2287","122.5562"
"33","6.2677","123.6882"
"34","6.3067","124.6527"
"35","6.3457","125.7599"
"36","6.3847","124.1333"
"37","6.4237","123.7190"
"38","6.4627","123.9577"
"39","6.5017","124.7946"
"40","6.5407","122.1603"
"41","6.5797","122.5146"
"42","6.6187","123.3285"
"43","6.6577","123.6849"
"44","6.6967","122.0115"
"45","6.7357","120.8641"
"46","6.7747","121.8272"
"47","6.8137","122.7834"
"48","6.8527","123.1510"
"49","6.8917","123.6919"
"50","6.9307","126.0470"
"51","6.9697","125.2531"
"52","7.0087","122.7518"
"53","7.0477","123.4229"
"54","7.0867","123.0517"
"55","7.1257","122.8949"
"56","7.1647","125.7929"
"57","7.2037","126.0462"
"58","7.2427","124.7065"
"59","7.2817","125.3869"
"60","7.3207","125.1587"
"61","7.3597","125.2758"
"62","7.3987","125.7408"
"63","7.4377","125.9940"
"64","7.4767","125.2436"
"65","7.5157","126.7753"
"66","7.5547","127.7255"
"67","7.5937","128.4239"
"68","7.6327","128.0672"
"69","7.6717","129.7112"
"70","7.7107","130.6800"
"71","7.7497","131.8383"
"72","7.7887","132.3257"
"73","7.8277","134.0328"
"74","7.8667","135.4463"
"75","7.9057","138.4093"
"76","7.9447","141.1881"
"77","7.9837","144.4225"
"78","8.0227","144.8623"
"79","8.0617","149.7692"
"80","8.1007","155.3637"
"81","8.1397","164.7397"
"82","8.1787","176.1374"
"83","8.2177","182.1414"
"84","8.2567","197.2975"
"85","8.2957","209.5798"
"86","8.3347","230.0564"
"87","8.3737","253.6446"
"88","8.4127","286.3506"
"89","8.4517","319.9585"
"90","8.4907","364.7141"
"91","8.5297","405.1775"
"92","8.5687","415.9994"
"93","8.6077","381.1750"
"94","8.6467","333.0261"
"95","8.6857","275.1948"
"96","8.7247","237.9355"
"97","8.7637","215.7629"
"98","8.8027","206.1645"
"99","8.8417","198.1068"
"100","8.8807","193.5269"
"101","8.9197","192.3750"
"102","8.9587","188.4513"
"103","8.9977","185.8805"
"104","9.0367","183.7184"
"105","9.0757","184.6949"
"106","9.1147","181.2297"
"107","9.1537","178.7552"
"108","9.1927","179.5825"
"109","9.2317","180.8973"
"110","9.2707","177.8113"
"111","9.3097","175.5682"
"112","9.3487","172.7978"
"113","9.3877","171.8437"
"114","9.4267","177.1396"
"115","9.4657","171.2112"
"116","9.5047","174.9451"
"117","9.5437","174.6666"
"118","9.5827","176.3938"
"119","9.6217","181.9224"
"120","9.6607","185.4336"
"121","9.6997","196.6538"
"122","9.7387","205.5560"
"123","9.7777","223.2610"
"124","9.8167","242.3873"
"125","9.8557","253.8636"
"126","9.8947","253.6629"
"127","9.9337","239.7951"
"128","9.9727","215.9528"
"129","10.0117","190.0403"
"130","10.0507","171.9004"
"131","10.0897","159.4716"
"132","10.1287","153.2081"
"133","10.1677","148.6081"
"134","10.2067","143.7651"
"135","10.2457","142.0819"
"136","10.2847","139.5604"
"137","10.3237","139.1833"
"138","10.3627","137.0165"
"139","10.4017","133.9885"
"140","10.4407","133.7155"
"141","10.4797","134.8742"
"142","10.5187","134.2445"
"143","10.5577","133.9899"
"144","10.5967","133.8229"
"145","10.6357","133.2445"
"146","10.6747","130.3942"
"147","10.7137","130.4878"
"148","10.7527","131.2304"
"149","10.7917","132.2203"
"150","10.8307","132.0438"
"151","10.8697","128.1155"
"152","10.9087","126.1860"
"153","10.9477","127.5461"
"154","10.9867","126.3173"
"155","11.0257","123.9126"
"156","11.0647","124.3700"
"157","11.1037","124.3882"
"158","11.1427","121.8840"
"159","11.1817","120.0469"
"160","11.2207","121.9290"
"161","11.2597","122.0628"
"162","11.2987","122.0990"
"163","11.3377","123.5948"
"164","11.3767","122.8566"
"165","11.4157","122.8366"
"166","11.4547","123.1768"
"167","11.4937","121.6981"
"168","11.5327","120.3687"
"169","11.5717","119.7638"
"170","11.6107","119.2176"
"171","11.6497","119.1710"
"172","11.6887","118.2898"
"173","11.7277","118.5370"
"174","11.7667","118.3612"
"175","11.8057","118.3788"
"176","11.8447","117.8780"
"177","11.8837","116.9317"
"178","11.9227","116.4784"
"179","11.9617","114.7449"
"180","12.0007","115.4029"
"181","12.0397","117.6004"
"182","12.0787","115.1974"
"183","12.1177","113.5286"
"184","12.1567","114.6002"
"185","12.1957","115.7102"
"186","12.2347","115.5736"
"187","12.2737","114.6753"
"188","12.3127","112.3111"
"189","12.3517","110.8984"
"190","12.3907","113.0484"
"191","12.4297","113.5054"
"192","12.4687","114.2621"
"193","12.5077","113.4190"
"194","12.5467","113.8405"
"195","12.5857","111.4415"
"196","12.6247","110.8304"
"197","12.6637","113.3417"
"198","12.7027","113.0741"
"199","12.7417","111.1100"
"200","12.7807","110.0258"
"201","12.8197","112.9310"
"202","12.8587","111.2342"
"203","12.8977","110.9877"
"204","12.9367","111.5593"
"205","12.9757","111.9523"
"206","13.0147","111.2002"
"207","13.0537","113.1173"
"208","13.0927","112.6964"
"209","13.1317","109.5011"
"210","13.1707","108.9777"
"211","13.2097","109.3905"
"212","13.2487","110.8410"
"213","13.2877","108.7731"
"214","13.3267","108.7382"
"215","13.3657","111.5676"
"216","13.4047","109.2823"
"217","13.4437","113.0479"
"218","13.4827","109.3006"
"219","13.5217","109.9034"
"220","13.5607","109.7656"
"221","13.5997","110.5780"
"222","13.6387","110.1427"
"223","13.6777","109.5109"
"224","13.7167","110.2384"
"225","13.7557","112.8391"
"226","13.7947","112.2122"
"227","13.8337","111.8166"
"228","13.8727","114.5158"
"229","13.9117","114.0646"
"230","13.9507","113.4141"
"231","13.9897","116.0034"
"232","14.0287","114.7538"
"233","14.0677","115.3582"
"234","14.1067","113.9441"
"235","14.1457","112.7741"
"236","14.1847","107.8142"
"237","14.2237","106.4979"
"238","14.2627","109.2446"
"239","14.3017","109.1281"
"240","14.3407","107.4018"
"241","14.3797","108.5233"
"242","14.4187","107.1253"
"243","14.4577","106.4325"
"244","14.4967","106.1804"
"245","14.5357","105.6760"
"246","14.5747","107.5436"
"247","14.6137","106.9395"
"248","14.6527","105.7832"
"249","14.6917","108.2142"
"250","14.7307","107.9794"
"251","14.7697","107.0566"
"252","14.8087","107.2717"
"253","14.8477","107.2513"
"254","14.8867","107.5479"
"255","14.9257","105.4410"
"256","14.9647","104.7707"
"257","15.0037","106.1604"
"258","15.0427","105.2361"
"259","15.0817","106.1058"
"260","15.1207","106.7624"
"261","15.1597","103.6639"
"262","15.1987","104.3173"
"263","15.2377","105.5948"
"264","15.2767","104.0870"
"265","15.3157","103.9536"
"266","15.3547","103.3730"
"267","15.3937","104.6265"
"268","15.4327","104.5555"
"269","15.4717","104.9778"
"270","15.5107","104.6796"
"271","15.5497","102.2969"
"272","15.5887","102.1170"
"273","15.6277","103.3354"
"274","15.6667","103.7076"
"275","15.7057","103.3406"
"276","15.7447","103.8368"
"277","15.7837","102.9055"
"278","15.8227","101.4755"
