angle,5L-0,5L-1,5L-2,5L-3,5L-4,5L-5
20.6977,98.9412,99.2587,93.7591,91.5967,90.7486,96.0045
20.7367,97.9802,98.8481,95.0748,90.6937,88.2527,101.3538
20.7757,100.4043,98.6222,97.1086,90.4472,93.4912,97.4095
20.8147,100.3032,100.6567,99.3664,89.5083,92.0297,97.4567
20.8537,95.4224,98.6994,97.171,91.3049,90.9933,96.4503
20.8927,95.8582,101.0553,95.0703,91.2583,92.0812,98.0569
20.9317,99.3963,100.263,95.7987,93.5252,92.3035,96.9571
20.9707,98.8712,101.4099,94.4915,92.1944,88.7169,96.1359
21.0097,99.5044,101.1742,94.5241,89.8427,90.2542,97.9063
21.0487,100.5678,101.4768,97.2108,92.0303,91.7601,98.5366
21.0877,99.0829,96.8491,97.816,92.9297,92.0281,98.2759
21.1267,96.9848,100.2933,96.6171,92.08,95.0189,100.081
21.1657,98.7358,100.1605,96.2054,90.7587,91.6395,100.6133
21.2047,99.4123,101.0453,96.245,93.2288,89.215,98.5667
21.2437,101.4981,102.3488,96.5987,93.7592,93.9106,102.6141
21.2827,99.5938,104.7399,97.9195,94.752,93.5627,101.261
21.3217,105.2567,101.8039,100.3686,96.2681,95.4079,102.7483
21.3607,106.5246,102.5982,98.8168,98.4793,96.7708,103.1129
21.3997,104.1483,104.7016,100.942,103.8241,97.0639,105.265
21.4387,108.3225,106.5924,105.1635,111.9256,99.0308,105.9005
21.4777,115.8703,106.7343,106.387,123.8276,102.8906,112.1171
21.5167,123.9076,110.6231,108.8663,138.4941,110.08,116.654
21.5557,134.5601,116.8862,114.3213,160.7257,118.3635,124.6582
21.5947,147.5486,127.1405,124.5126,182.6892,136.5746,127.5882
21.6337,156.6687,142.4957,132.1655,175.5621,154.2728,133.4748
21.6727,150.9435,156.9222,138.8643,148.5769,167.0913,133.2333
21.7117,133.147,165.7101,139.2519,125.2755,162.292,129.3508
21.7507,119.9555,162.0933,129.5675,109.0978,145.1103,121.4533
21.7897,111.0772,146.9389,118.6919,100.1176,124.2239,113.2406
21.8287,106.7685,129.9355,110.1095,97.5354,110.7909,108.454
21.8677,105.0474,116.9469,102.7277,95.2727,103.1008,106.4021
21.9067,101.4523,108.1405,100.858,93.0834,100.3609,104.8765
21.9457,102.1518,104.5742,101.7358,92.3985,98.2543,104.4811
21.9847,102.9328,103.6319,100.5813,91.602,95.8189,104.1156
22.0237,103.2093,104.0699,98.5575,91.9954,92.968,103.1909
22.0627,103.3717,105.2769,97.1019,96.7074,95.0182,102.1296
22.1017,103.7246,103.8508,99.4183,99.8335,96.3625,103.6875
22.1407,105.7556,105.1117,101.6363,99.5865,96.2682,105.0872
22.1797,105.8008,106.3991,102.4198,99.7463,97.1309,105.2751
22.2187,106.5992,108.6239,102.4952,97.0675,99.2952,106.3868
22.2577,105.6459,109.452,103.9214,94.8637,100.3264,106.6954
22.2967,101.8373,110.9083,103.5488,90.3014,99.6275,106.4633
22.3357,101.1581,109.4628,102.9337,89.5627,97.2477,102.5653
22.3747,99.0359,105.3101,100.482,91.9792,96.1255,102.2113
22.4137,100.6147,101.1525,99.5622,92.3759,94.7762,103.527
22.4527,102.82,100.0287,99.0524,91.1505,92.2055,102.8317
22.4917,102.9883,102.4931,99.0547,91.4765,92.4605,101.4204
22.5307,101.7173,103.8209,100.1082,92.06,95.0141,100.5367
22.5697,100.4674,103.5305,99.7304,93.0688,94.4151,103.4277
22.6087,102.1264,103.7608,98.8863,97.6236,93.2224,105.6603
22.6477,103.1649,103.7465,99.7959,97.1232,94.4873,104.2086
22.6867,104.5931,105.6141,101.0074,96.1661,95.394,104.0349
22.7257,105.6602,107.8112,100.6271,98.7842,96.4422,106.0483
22.7647,104.5174,107.9655,100.6183,97.8859,97.8113,106.1416
22.8037,104.0928,107.8725,102.7586,95.7149,97.8678,103.7601
22.8427,104.0182,109.3682,103.6271,95.398,95.2617,102.3729
22.8817,103.7224,110.3998,103.6591,96.0883,93.741,102.4362
22.9207,102.1041,108.2078,102.9442,94.9428,96.0408,102.505
22.9597,99.5398,106.2284,99.4579,92.9321,94.6766,103.2406
22.9987,98.5292,103.8593,98.4968,91.6228,92.2973,103.5444
23.0377,99.2738,102.8906,98.7001,91.8172,94.474,101.838
23.0767,99.6271,103.4379,98.762,92.1389,94.2165,101.9443
23.1157,98.4028,100.8372,98.01,91.5719,92.7581,103.6123
23.1547,97.5433,99.8974,96.1944,91.8905,93.5854,103.2146
23.1937,96.4228,100.6743,97.116,92.693,92.9469,102.286
23.2327,97.4734,100.4691,98.6422,92.4817,91.6258,100.4728
23.2717,97.167,100.0624,98.3916,92.6256,90.4136,101.237
23.3107,97.709,101.0472,97.4814,91.7238,91.2763,101.6192
23.3497,98.5943,102.5017,97.6035,91.5952,92.0815,102.119
23.3887,96.3599,101.3591,97.6103,92.8031,91.5033,103.6157
23.4277,97.3787,102.0687,97.9002,91.6655,91.3587,103.9018
23.4667,97.5883,103.0271,98.3302,93.2316,90.8176,102.8611
23.5057,96.8846,102.7981,97.8946,94.749,90.2567,100.8398
23.5447,99.6587,104.8578,97.8321,91.4254,89.8629,99.7135
23.5837,100.3146,102.6519,98.2059,89.9795,89.4885,101.0551
23.6227,100.2162,100.0175,98.8848,91.8489,90.4978,101.7702
23.6617,99.1015,100.6311,98.6842,91.3473,90.719,103.3545
23.7007,97.6676,101.8585,96.813,90.9002,90.9701,99.9575
23.7397,98.9765,102.3272,99.12,91.3489,92.3934,101.5894
23.7787,99.4629,100.4574,100.75,91.4542,93.2083,102.3168
23.8177,96.9739,100.5374,101.0365,90.9376,92.5507,104.9657
23.8567,98.9471,102.227,96.9509,91.5338,92.4605,103.6603
23.8957,100.0788,102.8053,100.1125,94.3916,90.063,102.6888
23.9347,98.208,104.2983,99.6217,93.1907,91.3422,104.606
23.9737,99.3321,101.8861,100.951,94.2062,90.6392,103.4404
24.0127,100.8162,102.5386,100.3767,94.6087,92.1829,102.99
24.0517,102.9108,102.8465,102.4107,94.9674,95.4837,100.8144
24.0907,101.3257,103.0609,101.2508,97.2943,93.4683,107.3936
24.1297,103.3476,101.6027,100.8092,99.2391,93.6106,109.4415
24.1687,105.0001,106.8279,103.1524,104.5353,95.331,107.9571
24.2077,108.8331,103.1113,106.1095,115.559,100.186,111.1583
24.2467,112.7002,104.5988,105.0107,126.167,105.6648,109.4689
24.2857,121.9284,108.0926,109.185,136.879,109.0219,115.9992
24.3247,128.2248,115.7565,113.3266,150.3681,118.0923,120.0083
24.3637,136.8404,125.6183,116.8013,141.6158,129.0641,122.7127
24.4027,127.5925,131.6856,120.8949,128.0895,133.8637,119.6762
24.4417,120.4893,137.6525,125.6729,111.9286,134.4593,117.3437
24.4807,113.1288,139.9532,118.2568,104.1915,118.7052,112.3226
24.5197,105.997,131.2955,111.0206,99.8506,114.1891,109.1131
24.5587,107.1744,116.6508,108.0595,97.4249,102.4502,105.8986
24.5977,103.1739,111.0373,101.0486,96.9856,98.6106,106.4011
24.6367,102.5957,109.3331,101.0974,96.1514,94.9216,104.2471
24.6757,101.6918,105.5121,101.9808,96.1925,96.6061,102.4188
24.7147,98.4685,105.5089,99.6621,95.9257,96.8744,107.4051
24.7537,99.4088,104.5538,100.3684,97.7719,96.7757,104.4519
24.7927,104.4982,103.5883,98.0305,95.5179,93.9374,101.331
24.8317,98.7653,105.7285,100.823,95.366,97.4712,104.838
24.8707,100.7625,104.5,101.0229,97.9633,95.2796,102.0545
24.9097,101.6422,104.5079,101.1441,93.8902,97.4167,103.7897
24.9487,99.7041,105.1688,99.7626,97.1113,92.6043,103.7376
24.9877,100.031,103.7107,102.7685,95.8675,93.7754,103.9535
25.0267,99.2608,104.7875,100.9819,95.6606,93.7025,102.2743
25.0657,101.3092,104.3096,99.9378,96.1199,90.5822,103.3198
25.1047,99.182,103.4491,102.0974,97.8154,94.3373,103.2146
25.1437,100.2595,102.8214,102.5219,97.708,96.4326,101.9615
25.1827,102.3961,103.3992,104.6904,99.0921,97.3532,102.5892
25.2217,102.9904,106.959,102.0122,97.4128,95.4412,104.1536
25.2607,104.9982,106.7628,104.2775,100.7578,95.7841,103.2592
25.2997,105.1685,107.3268,102.1462,102.7607,99.2676,105.5367
25.3387,107.7374,109.1652,103.8208,101.606,99.2001,101.5955
25.3777,106.1743,108.5259,103.6169,101.1473,99.3964,102.568
25.4167,105.5482,110.5303,106.9573,102.9435,101.7248,106.4929
25.4557,105.9076,113.3915,107.4548,101.6438,100.8557,105.1209
25.4947,105.3013,114.0401,105.1119,103.0188,102.3461,105.4776
25.5337,107.059,111.2544,104.837,103.3828,100.3694,104.566
25.5727,106.1328,108.7402,107.0395,104.7267,97.7268,107.1386
25.6117,106.8326,107.3111,104.477,109.3358,100.3683,106.1354
25.6507,112.5819,109.1275,105.1431,116.5769,103.7176,107.1245
25.6897,113.7074,110.9935,106.4646,127.8283,105.9839,112.229
25.7287,121.0176,114.8611,112.5748,146.1387,112.6045,116.1811
25.7677,133.5325,118.9612,115.365,173.6176,122.2997,122.8826
25.8067,145.7843,123.0358,121.3116,193.1942,137.431,131.3816
25.8457,159.0667,132.6729,131.4683,195.1205,152.444,137.5387
25.8847,160.6418,147.5091,139.0397,176.1732,169.8475,137.4449
25.9237,148.1196,165.4961,143.7845,145.9642,175.2644,133.2502
25.9627,132.7942,173.365,142.2894,123.2391,165.1079,126.447
26.0017,120.3032,166.7115,133.052,110.0432,145.373,119.9584
26.0407,110.0791,149.9687,119.1236,100.3206,124.3691,113.1222
26.0797,107.1578,130.9772,110.5524,99.2027,109.9651,109.2455
26.1187,106.2244,117.9558,108.8955,99.2429,103.9829,104.452
26.1577,103.6837,110.8341,105.3029,97.5976,99.316,101.8529
26.1967,102.3212,107.1117,102.8826,96.4683,97.2567,101.5213
26.2357,101.7934,107.2645,102.1701,94.8431,95.9259,100.9007
26.2747,100.8452,106.7989,100.4466,96.4145,95.3171,100.2756
26.3137,101.3903,104.2285,100.2945,97.7302,95.4923,100.701
26.3527,100.8795,104.9345,99.89,95.0794,94.0527,102.09
26.3917,99.9014,105.8434,99.0754,95.5056,94.2462,102.3355
26.4307,100.0257,104.4167,101.505,96.3241,93.6807,101.454
26.4697,100.6173,104.6473,101.139,95.3318,93.642,101.5564
26.5087,100.0445,104.3245,101.2187,95.0915,93.7506,100.0233
26.5477,98.3657,101.3476,103.2232,93.7918,94.1817,98.2231
26.5867,98.1889,101.49,100.0508,93.2411,94.7788,99.3026
26.6257,99.3501,102.6624,98.1819,93.8272,93.9183,99.9141
26.6647,99.8049,102.9647,98.1814,94.8094,93.1277,101.1794
26.7037,100.3294,103.5302,96.6567,96.3805,92.4554,101.3626
26.7427,99.2016,102.7201,98.4045,94.8893,90.8928,99.3728
26.7817,97.4931,100.9356,100.0833,93.1383,92.8992,98.8925
26.8207,97.4329,100.5922,98.8029,93.4395,95.7521,97.9129
26.8597,97.5583,102.5315,98.8812,93.6138,93.5636,98.2947
26.8987,98.7546,103.2065,99.4408,94.7743,92.8971,99.9689
26.9377,98.788,101.4162,98.0207,94.3917,94.3985,100.3908
26.9767,98.8269,99.7277,97.0297,92.7203,94.1986,101.085
27.0157,99.0416,101.2038,96.7213,92.9349,92.7195,100.1828
27.0547,97.3332,101.9469,96.9345,92.7011,92.9111,100.8063
27.0937,97.7207,101.6557,96.8087,92.099,91.6206,102.2735
27.1327,99.4081,100.9373,95.9804,95.0561,91.6684,98.4198
27.1717,98.6305,101.088,98.1818,93.4831,91.3177,97.5172
27.2107,99.4198,99.6901,99.1717,90.6712,91.4239,97.8697
27.2497,98.2177,100.9663,97.1104,92.1976,90.565,97.841
27.2887,97.3282,101.3409,94.5951,92.8635,92.5998,98.8416
27.3277,98.2922,99.5829,95.3802,91.5274,91.2035,99.1665
27.3667,98.3533,101.6852,96.6176,91.6959,91.3732,100.3779
27.4057,98.7751,101.0706,96.9841,91.0274,89.7312,101.1428
27.4447,99.7244,100.0609,98.0746,90.2087,90.7247,99.5124
27.4837,97.3469,101.4592,98.3554,90.9365,88.8522,100.2451
27.5227,95.8017,99.3476,98.4929,90.8536,88.0674,101.9883
27.5617,94.9921,98.6234,96.1284,89.8975,89.419,100.5397
27.6007,96.1407,99.6384,95.3583,91.1691,88.6439,97.7909
27.6397,95.3475,100.7649,98.8938,89.7766,88.184,98.5344
27.6787,97.3486,99.1241,98.0072,88.7949,87.7157,95.9532
27.7177,96.2984,100.1883,98.3678,88.4634,88.5075,97.1368
27.7567,96.9667,99.7379,93.7254,88.5797,87.2638,98.5636
27.7957,98.5629,97.9038,93.6839,89.8429,89.9256,96.4212
27.8347,94.7407,98.5541,96.8832,89.1085,89.3056,97.8127
27.8737,96.4676,98.5048,98.2587,91.3788,89.5856,98.266
27.9127,97.8825,101.5103,96.1768,91.1966,89.2413,98.2703
27.9517,96.5866,99.5901,97.0446,90.8605,90.8631,98.3306
27.9907,94.489,96.0163,96.054,93.5068,91.373,100.3125
28.0297,98.0768,100.386,97.1224,93.5699,92.4357,98.8847
28.0687,96.1829,99.4713,98.1969,93.5827,92.8014,97.7063
28.1077,97.4596,100.3853,96.2184,98.0749,91.8332,99.6941
28.1467,103.0933,99.5445,98.8102,99.8553,90.9354,100.1064
28.1857,103.2841,100.8732,101.616,100.3547,97.1078,102.4635
28.2247,104.0588,102.4943,99.4638,97.9461,95.3941,102.835
28.2637,103.1487,107.0004,96.9904,91.9925,98.4469,102.6125
28.3027,99.5549,107.741,100.1714,87.5573,94.4303,101.9566
28.3417,100.1016,106.3445,97.4752,85.7565,91.8038,100.7329
28.3807,93.7143,105.551,95.6938,89.1884,89.8234,98.3258
28.4197,96.9974,100.6384,96.1253,87.9068,88.5267,98.0744
28.4587,96.483,99.0087,98.1483,86.9398,89.9204,101.205
28.4977,96.3985,97.8051,98.2671,87.5456,87.0606,97.7539
28.5367,93.3572,98.9525,97.4861,88.5069,87.7619,99.4053
28.5757,94.9871,90.5353,96.6689,89.2093,89.7926,96.7934
28.6147,94.6995,94.5207,93.5874,87.5659,88.4779,96.6701
28.6537,96.9721,96.4784,94.0288,88.032,84.9921,98.4312
28.6927,94.812,98.065,94.0955,85.9092,87.481,99.7518
28.7317,94.9415,95.2315,93.6754,89.9537,87.7208,100.324
28.7707,95.5634,96.5447,92.4892,86.3182,85.4426,98.6341
28.8097,94.1951,97.8853,93.3216,89.2167,86.2254,100.74
28.8487,94.0982,100.4266,92.3981,88.6477,89.0562,97.2041
28.8877,97.5805,95.6836,93.3918,89.118,87.0476,97.8071
28.9267,97.8715,94.196,96.4447,91.2911,89.8084,102.005
28.9657,95.0104,96.6772,95.148,89.6744,85.476,99.852
29.0047,95.6322,97.1444,92.8841,88.2984,86.3314,100.8994
29.0437,92.1068,93.5569,96.2369,87.739,88.1032,100.1083
29.0827,96.8585,96.0885,93.12,90.0901,89.6195,98.3865
29.1217,97.3126,98.2148,95.5235,93.162,85.8394,98.632
29.1607,96.9332,99.0269,97.2819,90.7116,85.9849,99.362
29.1997,95.6629,100.9485,95.7222,93.9862,88.6076,98.3094
29.2387,95.95,97.3974,94.117,92.4134,87.9939,98.8842
29.2777,98.2817,97.8865,96.6702,94.1977,90.247,100.668
29.3167,97.573,101.1827,99.0848,97.3572,92.1148,101.1931
29.3557,99.6951,101.3705,97.2605,100.1203,92.3156,101.5869
29.3947,102.8442,100.4103,96.9309,106.3163,93.5013,101.8194
29.4337,108.5363,98.8553,99.8774,115.5063,95.9664,104.3934
29.4727,112.2945,101.9697,103.562,121.3658,100.8756,110.4053
29.5117,114.4142,107.4393,106.7493,123.8439,108.0881,109.6711
29.5507,115.6805,110.8657,110.829,117.7313,114.8785,110.3804
29.5897,114.1274,117.4625,110.5009,110.4025,115.9826,109.3598
29.6287,110.3438,121.1237,108.514,104.655,114.2417,106.432
29.6677,108.5573,119.2782,108.3714,102.6421,109.569,107.5681
29.7067,106.1313,113.1503,106.5029,107.8193,104.9214,106.0865
29.7457,110.873,108.9477,106.0843,118.5231,103.115,109.0153
29.7847,116.0675,106.9437,108.0199,134.7285,105.152,112.2694
29.8237,124.5535,108.9953,109.8458,158.8916,110.9522,119.4795
29.8627,139.9676,111.1088,114.5383,195.6316,124.1212,127.3051
29.9017,156.2865,115.027,123.5983,223.5168,144.688,136.816
29.9407,173.3365,129.3266,135.6836,222.1058,168.5653,145.0894
29.9797,175.7168,147.2961,146.3603,195.3122,188.3336,147.1347
30.0187,159.7316,170.1815,154.345,159.1202,192.8536,142.065
30.0577,141.9683,186.9543,148.9078,127.9156,180.0427,131.7101
30.0967,124.4618,182.3707,136.6982,109.8457,156.7226,118.9873
30.1357,110.2817,165.7039,124.8814,100.3552,131.7672,111.3254
30.1747,104.7534,144.435,112.9022,95.8436,112.8976,106.0226
30.2137,100.9948,123.6334,104.1534,94.485,104.0464,101.7263
30.2527,97.9782,110.2269,99.5932,92.6802,97.526,98.7036
30.2917,96.8249,104.1374,97.9183,91.5063,91.6295,97.3991
30.3307,94.5809,100.6812,97.233,89.8221,90.635,95.8428
30.3697,95.1778,97.5542,98.4422,90.4438,90.8347,96.1421
30.4087,95.4993,94.7119,99.0917,90.7113,90.5701,96.9283
30.4477,94.6212,95.8211,95.8492,87.1266,88.4698,95.2667
30.4867,93.9786,95.2674,92.8054,85.3688,86.1678,95.4251
30.5257,96.131,94.5059,92.3359,87.2392,86.9301,95.3564
30.5647,97.0605,95.673,92.5305,89.1908,87.8616,94.3255
30.6037,95.5932,95.666,93.0003,89.0468,88.3186,93.7071
30.6427,94.6898,97.5868,93.7615,86.8414,88.1702,93.0424
30.6817,93.9684,96.6974,93.0142,86.6839,86.564,93.9488
30.7207,94.4674,95.049,91.3695,88.9013,86.0811,93.3541
30.7597,93.8889,96.192,92.6453,87.9463,87.9362,94.033
30.7987,94.7968,94.9844,94.2547,86.6294,88.0692,95.9499
30.8377,95.6611,94.335,93.6046,87.7494,86.6928,94.8382
30.8767,94.2851,96.067,93.4,88.2371,87.6333,94.5268
30.9157,92.9376,96.1454,93.1156,87.787,86.2837,94.9399
30.9547,93.2963,95.3042,93.2013,86.6847,84.8722,94.8172
30.9937,93.9912,95.9219,93.7427,85.7866,84.7542,91.8776
31.0327,92.2623,95.4422,94.1275,85.3571,83.9104,90.7092
31.0717,93.1461,95.1485,93.9527,85.8559,86.773,92.2366
31.1107,94.7213,93.5408,93.4287,85.5872,85.865,93.8151
31.1497,92.8236,92.9945,92.4344,86.5846,85.1572,92.7479
31.1887,91.9494,90.2344,90.577,85.9479,86.1986,92.6286
31.2277,90.6146,91.8894,89.3634,85.4355,84.8939,92.0218
31.2667,89.6369,93.2577,90.396,85.8943,83.0258,91.7051
31.3057,92.2035,94.814,89.8198,84.0427,83.0089,91.2761
31.3447,91.3267,94.417,92.2352,83.7431,84.1726,91.4145
31.3837,89.984,93.0108,93.703,84.1802,83.8607,89.7828
31.4227,91.8727,93.0964,91.6571,86.275,83.4287,91.0513
31.4617,90.1112,91.6712,91.1826,88.3778,83.5244,90.2188
31.5007,90.0751,90.5259,90.6778,86.703,82.0469,89.6436
31.5397,91.1464,91.0332,89.19,86.1886,83.252,91.9535
31.5787,94.9729,92.4146,92.4493,86.4606,84.5563,93.1345
31.6177,92.7518,91.2704,93.3348,84.8146,83.3312,93.0123
31.6567,90.5991,92.2079,91.4179,83.2353,84.5184,91.5907
31.6957,90.0501,92.0708,91.6027,85.2977,85.0282,91.6564
31.7347,90.0048,94.0397,92.287,87.0021,85.2713,92.3579
31.7737,91.9911,93.2743,91.2501,85.7526,86.2394,92.0511
31.8127,92.224,93.224,92.1785,87.6896,85.0434,91.2789
31.8517,92.4933,92.5865,93.1187,87.785,85.2311,92.8632
31.8907,93.6403,93.0976,88.8284,87.4571,85.3219,95.1172
31.9297,94.8085,93.2778,90.3953,88.4818,89.4157,93.4741
31.9687,95.988,94.6022,91.504,89.1365,88.7593,94.2057
32.0077,95.7865,96.1696,92.4779,90.333,86.8549,90.5368
32.0467,94.4617,97.2994,94.0879,87.4211,88.0408,91.8827
32.0857,94.9121,97.9534,94.8788,85.6219,85.9457,95.0024
32.1247,93.2142,99.0838,93.3748,88.2589,85.7472,92.7658
32.1637,93.5428,98.0482,92.0976,86.3964,87.9127,93.4673
32.2027,93.9439,99.245,93.1713,84.8368,87.0014,93.2548
32.2417,91.1983,96.0818,92.6192,87.5814,85.6584,89.6485
32.2807,91.5762,95.7588,92.8653,86.0509,82.9805,91.2219
32.3197,88.4546,95.8664,89.8615,86.2572,84.3465,89.2766
32.3587,89.4364,92.0068,91.9159,83.5953,85.6833,89.9319
32.3977,94.4631,92.1193,90.4893,87.0579,82.8374,90.9136
32.4367,93.0191,91.8909,89.4986,85.7977,84.174,90.1067
32.4757,89.8379,89.9944,93.0475,87.4089,83.1817,90.7362
32.5147,93.6142,90.3827,89.4828,84.1955,84.4809,94.9399
32.5537,88.2114,90.3622,92.1534,87.6262,82.591,93.3581
32.5927,92.4139,92.4466,90.471,89.2993,87.6291,93.3499
32.6317,92.6808,92.4178,92.9537,93.6136,83.7612,92.7835
32.6707,100.9363,90.654,92.4773,100.4318,88.1057,94.5912
32.7097,100.204,92.1758,90.7136,110.465,89.733,97.412
32.7487,107.2949,98.0362,96.4766,121.6725,95.882,100.9736
32.7877,111.6286,98.4294,101.7057,119.9854,102.6191,104.6074
32.8267,115.2022,101.3137,104.7512,115.7166,107.7841,104.1728
32.8657,113.037,107.7194,106.907,106.5714,114.2814,101.6112
32.9047,105.0523,116.4816,105.3383,95.2731,112.0838,100.2148
32.9437,100.3034,119.1385,103.8738,88.8463,106.1835,95.0385
32.9827,95.0477,115.2502,99.5526,87.0487,98.3438,91.3805
33.0217,93.4112,110.0694,96.125,86.3155,88.0399,91.7478
33.0607,92.8357,102.2591,93.0563,85.4066,85.5424,90.3109
33.0997,89.501,97.2798,92.5024,85.0121,84.1538,93.0021
33.1387,89.7586,96.5054,92.9876,86.8106,85.4779,89.7209
33.1777,91.467,91.8683,91.1198,86.3479,86.2762,90.6129
33.2167,90.6073,90.5181,89.6727,83.5515,85.0925,90.2366
33.2557,91.2259,91.7285,90.1097,84.2326,85.2794,88.7713
33.2947,91.0355,91.0014,90.0074,84.628,83.91,89.0093
33.3337,90.7943,92.508,88.7077,80.9379,81.2263,91.3357
33.3727,90.8379,94.3592,87.885,83.9858,82.5075,91.5874
33.4117,91.0534,90.4056,88.505,81.7195,82.2274,88.6512
33.4507,89.1047,89.9063,88.8979,83.1096,81.8093,90.9008
33.4897,88.8244,91.8453,88.3859,82.6799,81.2331,90.061
33.5287,88.2176,91.9926,88.4521,81.5521,81.2215,87.8016
33.5677,90.4376,91.0609,87.8481,82.5791,80.3872,86.8008
33.6067,89.8534,89.8418,89.2164,83.7164,79.9197,88.3676
33.6457,89.6461,91.5289,88.5133,82.4835,80.6962,88.8051
33.6847,88.7687,90.6019,88.4368,83.2463,80.262,87.3144
33.7237,86.165,90.8252,88.7783,81.3316,79.4831,88.7129
33.7627,87.2841,92.1034,86.4944,80.6851,81.5352,89.5023
33.8017,89.012,91.1921,87.1104,83.6345,81.9561,88.8936
33.8407,88.0574,89.2124,88.5092,83.4786,83.1777,89.1039
33.8797,87.7497,88.6453,88.8195,81.0827,83.2204,88.3494
33.9187,86.9267,89.5352,89.8075,81.3176,81.1041,87.1991
33.9577,87.622,89.9092,88.9917,79.8664,81.7413,87.57
33.9967,88.0421,91.6486,89.0976,81.3713,81.0153,87.3898
34.0357,88.7567,90.0787,88.8331,81.3907,80.8702,86.9909
34.0747,88.7993,89.8028,88.7026,81.117,79.6875,86.4673
34.1137,88.871,90.6485,88.1983,80.7952,78.647,85.9639
34.1527,88.6742,90.9735,87.8526,79.7656,79.2538,86.5953
34.1917,87.1618,89.4854,89.0108,79.3706,79.6556,86.2015
34.2307,85.7529,88.2249,88.213,80.5823,80.2333,86.5415
34.2697,85.6072,87.1823,86.2569,81.8589,80.6607,89.7678
34.3087,88.1733,87.6774,86.4371,82.7277,80.185,89.2303
34.3477,89.2193,88.0605,87.296,84.9896,79.3874,88.7404
34.3867,88.9138,87.9946,87.9934,85.5377,80.3381,88.8543
34.4257,89.0126,88.2372,87.4524,85.2364,82.7074,88.0052
34.4647,89.7678,88.8407,86.0485,86.959,83.119,87.9188
34.5037,90.5597,89.7911,86.7282,91.3086,83.5847,87.3645
34.5427,91.8121,90.647,89.2415,98.4981,85.0028,89.2649
34.5817,95.7845,90.3553,92.8098,107.7143,85.845,93.9984
34.6207,100.1364,92.307,95.6014,120.1451,90.1591,98.8898
34.6597,106.7796,95.5299,96.959,131.4585,97.956,102.9229
34.6987,114.7677,95.8811,101.0295,133.5197,106.5713,105.6917
34.7377,117.1311,99.5223,105.9269,125.2729,117.1424,106.6115
34.7767,115.7965,109.4085,109.437,113.9945,123.2394,106.4666
34.8157,111.7066,120.3721,112.5013,102.6558,120.3931,103.6807
34.8547,103.7394,124.7552,109.9267,92.6261,113.1519,98.0256
34.8937,96.8009,121.9299,103.8676,88.729,104.2089,95.7653
34.9327,93.6094,114.3307,99.3003,86.441,97.1332,94.2569
34.9717,93.0695,108.6936,95.0292,86.1879,90.6,92.4351
35.0107,91.5256,102.5905,91.1094,84.1165,86.4871,91.53
35.0497,89.9607,97.7985,89.5001,82.2916,84.5871,88.1291
35.0887,90.1149,93.2298,91.2305,82.4234,84.2931,87.0358
35.1277,91.1932,92.11,89.3051,83.9373,82.2944,88.7026
35.1667,88.2011,91.9864,86.7578,84.9576,81.6098,88.4491
35.2057,88.8001,89.631,86.2641,84.7569,81.7709,88.3032
35.2447,89.2522,90.0831,87.28,83.5262,81.5985,89.2495
35.2837,90.1585,89.6524,86.7609,84.4652,84.1526,88.7286
35.3227,89.9914,90.8169,88.7939,85.7936,85.1445,87.7926
35.3617,90.5342,93.2164,89.5759,88.5357,83.4223,88.5582
35.4007,89.8553,90.8876,90.0655,87.5085,83.6712,90.233
35.4397,90.4305,91.5029,89.0169,86.6923,85.6797,91.5362
35.4787,91.3178,92.9932,89.0647,86.4611,83.6852,87.8893
35.5177,93.0856,94.8182,88.354,87.4536,83.2276,89.1682
35.5567,92.9759,95.3973,88.3639,89.8205,84.7008,89.1288
35.5957,88.8838,92.1967,89.6841,86.6037,84.8218,92.672
35.6347,91.0392,94.7639,89.7023,92.0843,84.7178,91.046
35.6737,92.8936,97.4972,89.9417,96.4542,84.4355,90.3234
35.7127,93.9602,94.936,91.4883,100.6127,86.4027,92.3955
35.7517,98.5998,91.9913,90.1342,106.0085,84.8941,92.8769
35.7907,100.9386,93.3869,94.8286,110.8875,91.3489,95.2362
35.8297,101.5644,96.5334,94.6416,106.2092,98.9091,96.1872
35.8687,100.3128,98.6433,98.6534,102.0296,102.0387,95.9204
35.9077,100.2068,103.1947,100.666,94.5988,102.3964,92.4576
35.9467,97.1587,105.0526,97.7031,87.7273,99.7545,90.4712
35.9857,93.1129,107.5513,92.895,85.2515,94.1932,89.7165
36.0247,91.6742,105.2773,89.2384,83.845,89.5226,88.9024
36.0637,88.8812,100.4575,90.8337,81.3253,85.5878,88.0694
36.1027,86.7546,95.6149,88.9738,81.2613,80.8197,84.4369
36.1417,82.8058,91.6772,87.4913,83.0211,82.5726,87.2469
36.1807,84.215,88.6381,88.7573,78.8026,80.907,85.7379
36.2197,84.9427,90.0039,85.2639,78.0651,75.7929,87.5123
36.2587,84.9635,86.7379,86.253,83.3109,77.954,85.5059
36.2977,86.4175,85.9318,85.6002,80.078,78.3267,85.0686
36.3367,86.7641,90.2517,88.0845,82.0426,78.2806,84.1504
36.3757,84.6785,86.3858,85.1665,79.5448,77.5322,86.4312
36.4147,85.6366,88.5371,86.5963,77.461,79.0052,87.7574
36.4537,84.4265,90.2354,85.8016,79.4715,76.8194,82.0041
